region_name,count
7135,20
9272,20
3156,21
3354,21
6437,21
7233,21
7313,21
9273,21
9263,22
9361,22
9371,22
9463,22
9776,22
1004,23
7318,23
7333,23
7335,23
9185,23
9572,23
10046,23
16055,23
3458,24
7311,24
7317,24
7337,24
9477,24
9478,24
9561,24
9773,24
3356,25
5122,25
9177,25
9276,25
9471,25
9679,25
9764,25
12051,25
13058,25
3402,26
6636,26
9274,26
9473,26
9677,26
12053,26
7316,27
8231,27
9175,27
9363,27
9474,27
9563,27
10042,27
16056,27
9377,28
9676,28
9678,28
9771,28
16072,28
3360,29
5512,29
9172,29
13001,29
16068,29
16069,29
1057,30
3455,30
8316,30
9662,30
16071,30
3158,31
3405,31
5120,31
7132,31
7134,31
7319,31
9176,31
9576,31
13056,31
16061,31
3154,32
8211,32
9373,32
9374,32
9575,32
9577,32
10043,32
13005,32
4012,33
7332,33
9186,33
3257,34
5966,34
6535,34
7140,34
7334,34
8426,34
9180,34
16077,34
3157,35
3357,35
3358,35
3461,35
5916,35
7131,35
7232,35
7338,35
9475,35
9574,35
15086,35
3155,36
5762,36
7331,36
7339,36
8126,36
8337,36
9262,36
9479,36
9673,36
9778,36
13062,36
16074,36
6533,37
7235,37
9171,37
9173,37
9571,37
9780,37
10045,37
3451,38
6413,38
9174,38
9275,38
9661,38
13061,38
16054,38
7231,39
8235,39
8327,39
8437,39
9277,39
9672,39
9779,39
16076,39
5316,40
5915,40
7141,40
8225,40
8236,40
8425,40
9375,40
9774,40
16062,40
5119,41
9179,41
9182,41
9261,41
13053,41
8128,42
9163,42
9777,42
13055,42
9183,43
9461,43
16065,43
3361,44
5116,44
5370,44
5558,44
6439,44
6634,44
8237,44
9188,44
12070,44
12071,44
13057,44
3103,45
3151,45
3153,45
3353,45
3355,45
6534,45
13052,45
13059,45
13060,45
1001,46
3256,46
8417,46
9181,46
9763,46
9775,46
15001,46
3460,47
7312,47
9562,47
16064,47
16073,47
16075,47
5378,48
8135,48
12063,48
13054,48
3351,49
3456,49
6632,49
13002,49
8127,50
9161,50
9376,50
9671,50
16053,50
8336,51
1053,52
5513,52
8121,52
10044,52
1051,53
3453,53
7143,53
8315,53
15081,53
16070,53
1061,54
5366,54
6633,54
9190,54
12062,54
3352,55
8416,55
12068,55
13051,55
15090,55
3252,56
6635,56
9372,56
16063,56
1059,57
9271,57
16067,57
5758,58
12072,58
3102,59
5166,59
6432,59
7133,59
7315,59
9462,59
12052,59
16052,59
3359,60
3452,60
5570,60
7138,60
12066,60
16066,60
8221,62
12065,62
1003,63
1054,63
3403,63
8125,63
9187,63
5117,64
7211,64
8325,64
12060,64
15087,64
5774,65
12069,65
8326,66
12073,66
15091,66
1060,67
3404,67
8421,67
9772,67
12067,67
1055,68
1062,68
3457,68
5374,68
7314,68
3251,69
6434,69
9189,69
5914,70
6431,70
8435,70
12064,70
3101,71
13004,71
5358,72
7137,72
9178,72
12054,72
5114,74
8216,74
9663,74
1058,75
15083,75
5124,76
5154,77
5754,78
3459,81
5554,81
5911,81
5954,82
6440,82
6531,82
8335,82
15082,82
5974,83
6433,83
7111,83
3152,84
6631,85
8117,85
15002,85
8311,86
12061,86
5978,88
15084,89
6411,90
8415,90
14729,90
3254,91
8215,91
15089,91
1056,93
5766,93
5770,94
6611,94
9761,94
14730,94
6436,95
8136,95
8436,95
9362,95
14628,95
1002,96
5711,96
13003,96
6532,98
5970,99
5958,101
5515,103
8118,103
8119,105
8115,106
5170,107
15088,107
14523,109
6414,110
14511,111
5112,112
3454,116
15003,116
6435,117
6438,118
8222,119
5382,120
5162,121
5566,121
10041,123
14627,123
15085,125
8212,126
5334,129
14626,132
8317,133
5362,140
16051,140
5962,141
14522,145
5562,146
8226,150
14524,153
5158,154
5314,155
14521,157
4011,163
14625,167
8116,169
9184,171
8111,173
5913,181
9564,183
14612,183
5113,186
14713,199
5111,233
5315,263
6412,295
3241,367
9162,370
2000,376
11000,611
